year,month,state,incidences
2020,3,Sachsen,10.405873591439104
2020,4,Sachsen,16.05984859765095
2020,5,Sachsen,3.798678436500657
2020,6,Sachsen,0.995135133085102
2020,7,Sachsen,0.5218096403006574
2020,8,Sachsen,2.417558425246165
2020,9,Sachsen,7.642835694862383
2020,10,Sachsen,55.9501211260601
2020,11,Sachsen,213.72485098943804
2020,12,Sachsen,428.6227364332645
2021,1,Sachsen,266.8162691181996
2021,2,Sachsen,91.5099720455246
2021,3,Sachsen,146.58462585075915
2021,4,Sachsen,232.7074452762246
2021,5,Sachsen,131.95321119657953
2021,6,Sachsen,13.830482069181922
2021,7,Sachsen,4.042827901228488
2021,8,Sachsen,14.974500503306944
2021,9,Sachsen,42.97714091327847
2021,10,Sachsen,156.82454163610876
2021,11,Sachsen,954.5143270602716
2021,12,Sachsen,881.9971221958978
2022,1,Sachsen,411.5586037465516
2022,2,Sachsen,1259.567060035375
2022,3,Sachsen,2075.388535548585
2022,4,Sachsen,940.050652130933
2022,5,Sachsen,267.6269091710215
2022,6,Sachsen,276.11990628086096
2022,7,Sachsen,534.0234965295907
2022,8,Sachsen,320.8483009854176
2022,9,Sachsen,313.19301845509847
2022,10,Sachsen,559.2235510850281
2022,11,Sachsen,196.8982454126909
2022,12,Sachsen,185.22247545504
2023,1,Sachsen,98.07069103601732
2020,3,Sachsen-Anhalt,6.392865163945317
2020,4,Sachsen-Anhalt,9.756046589924429
2020,5,Sachsen-Anhalt,1.811237443518352
2020,6,Sachsen-Anhalt,1.7840242701058842
2020,7,Sachsen-Anhalt,1.4171668995673148
2020,8,Sachsen-Anhalt,2.3629362050498046
2020,9,Sachsen-Anhalt,4.155040160522232
2020,10,Sachsen-Anhalt,22.125945748858427
2020,11,Sachsen-Anhalt,77.3000352348635
2020,12,Sachsen-Anhalt,180.4040079621284
2021,1,Sachsen-Anhalt,226.42252514367104
2021,2,Sachsen-Anhalt,103.88862630855613
2021,3,Sachsen-Anhalt,124.46234836630175
2021,4,Sachsen-Anhalt,188.72856232076205
